iter	Logloss
0	0.6633713885
1	0.6320487418
2	0.6040584657
3	0.5787589096
4	0.5576005145
5	0.5394872154
6	0.519208843
7	0.5020001667
8	0.4856079846
9	0.4712516226
10	0.4575956019
11	0.4459966148
12	0.4335546726
13	0.4234679804
14	0.4124836991
15	0.4024126006
16	0.3936566609
17	0.3850516715
18	0.3766475026
19	0.3699668326
20	0.3621643811
21	0.3548196932
22	0.3487422292
23	0.342387018
24	0.3364412261
25	0.33043198
26	0.3248005937
27	0.3189272253
28	0.3143507795
29	0.3094806206
30	0.3052454879
31	0.3007436985
32	0.2967014034
33	0.2930687695
34	0.2893799945
35	0.2856175679
36	0.2817582665
37	0.2775450358
38	0.2737176663
39	0.2704458841
40	0.266854784
41	0.263336926
42	0.2609492976
43	0.258311388
44	0.2549042492
45	0.2520155744
46	0.2496854643
47	0.2465488713
48	0.2440929878
49	0.2422764476
50	0.2409693834
51	0.2390314242
52	0.2368560419
53	0.2346938343
54	0.2327808101
55	0.2308222515
56	0.2288982484
57	0.2281460646
58	0.2260455434
59	0.2246645113
60	0.2212701565
61	0.2193885431
62	0.2172900316
63	0.2161322245
64	0.213510839
65	0.2105885575
66	0.2086142563
67	0.2066159132
68	0.2047848957
69	0.2033410421
70	0.2021066061
71	0.2001782673
72	0.1988592753
73	0.1972719146
74	0.1959877945
75	0.1951824281
76	0.193567397
77	0.1922388961
78	0.1912909159
79	0.190009252
80	0.188616106
81	0.186870333
82	0.1860823282
83	0.1857075017
84	0.1838764098
85	0.1824966058
86	0.1813965588
87	0.1808588912
88	0.1804199591
89	0.1797895292
90	0.1788544446
91	0.1781377281
92	0.177635044
93	0.1769046876
94	0.1757842645
95	0.1751428558
96	0.1744393325
97	0.1737340043
98	0.1730776531
99	0.1727166525
